countries,SCP,MCP,Total,MCP_Ratio
UK,2,1,3,33.33333333333333
USA,0,2,2,100.0
Israel,1,0,1,0.0
France,1,0,1,0.0
Ukraine,1,0,1,0.0
United Kingdom,0,1,1,100.0
