Source,Target,Weight
Karen L. Butler-Purry,Vinicius Bobato,2
Kumpanat Thongmai,Vinicius Bobato,2
José Barata,Ricardo Silva Peres,2
Jian Liu,Jiaxin Zhang,2
Jian Liu,Luyang Liu,2
Jian Liu,Syed Irfan Ali Meerza,2
Jiaxin Zhang,Luyang Liu,2
Jiaxin Zhang,Syed Irfan Ali Meerza,2
Luyang Liu,Syed Irfan Ali Meerza,2
Benedikt Obermayer,Clemens Messerschmidt,2
Benedikt Obermayer,Dieter Beule,2
Benedikt Obermayer,Manuel Holtgrewe,2
Benedikt Obermayer,Mikko Nieminen,2
Clemens Messerschmidt,Dieter Beule,2
Clemens Messerschmidt,Manuel Holtgrewe,2
Clemens Messerschmidt,Mikko Nieminen,2
Dieter Beule,Manuel Holtgrewe,2
Dieter Beule,Mikko Nieminen,2
Manuel Holtgrewe,Mikko Nieminen,2
Madhusanka Liyanage,Pardeep Kumar,2
Abhijeet Sahu,Ana Goulart,2
Abhijeet Sahu,Katherine Davis,2
Abhijeet Sahu,Patrick Wlazlo,2
Abhijeet Sahu,Saman Zonouz,2
Ana Goulart,Katherine Davis,2
Ana Goulart,Patrick Wlazlo,2
Ana Goulart,Saman Zonouz,2
Katherine Davis,Patrick Wlazlo,2
Katherine Davis,Saman Zonouz,2
Patrick Wlazlo,Saman Zonouz,2
A. S. M. Kayes,Mamoun Alazab,2
A. S. M. Kayes,Mohammad Jabed Morshed Chowdhury,2
A. S. M. Kayes,Raza Nowrozy,2
Mamoun Alazab,Mohammad Jabed Morshed Chowdhury,2
Mamoun Alazab,Paul Watters,3
Mohammad Jabed Morshed Chowdhury,Paul Watters,2
Paul Watters,Raza Nowrozy,2
Don van Ravenzwaaij,Rink Hoekstra,2
Andrei Gurtov,Diana Pamela Moya Osorio,2
Andrei Gurtov,Pawani Porambage,2
Diana Pamela Moya Osorio,Gürkan Gür,2
Diana Pamela Moya Osorio,Mika Ylianttila,2
Diana Pamela Moya Osorio,Pawani Porambage,3
Gürkan Gür,Mika Ylianttila,2
Gürkan Gür,Pawani Porambage,2
Madhusanka Liyanage,Mika Ylianttila,3
Madhusanka Liyanage,Pawani Porambage,3
Mika Ylianttila,Pawani Porambage,3
Krishnashree Achuthan,Sethuraman Srinivas,2
Koen Tange,Michele De Donno,2
Koen Tange,Nicola Dragoni,2
Michele De Donno,Nicola Dragoni,2
Ahmed Anwar,Tatjana Legler,2
Ahmed Anwar,Vinit Hegiste,2
Tatjana Legler,Vinit Hegiste,2
Ion Stoica,Matei Zaharia,2
Huw Roberts,Jessica Morley,3
Huw Roberts,Josh Cowls,5
Huw Roberts,Luciano Floridi,6
Huw Roberts,Mariarosaria Taddeo,5
Jessica Morley,Josh Cowls,3
Jessica Morley,Luciano Floridi,5
Jessica Morley,Mariarosaria Taddeo,3
Josh Cowls,Luciano Floridi,7
Josh Cowls,Mariarosaria Taddeo,6
Luciano Floridi,Mariarosaria Taddeo,12
A.M.S. Hamouda,Abdulaziz Aldoseri,3
A.M.S. Hamouda,Khalifa N. Al‐Khalifa,3
Abdulaziz Aldoseri,Khalifa N. Al‐Khalifa,3
Bin Han,Mohammad Asif Habibi,2
A.K.M. Najmul Islam,Amandeep Dhir,2
A.K.M. Najmul Islam,Matti Mäntymäki,2
Amandeep Dhir,Matti Mäntymäki,2
Anushree Tandon,Matti Mäntymäki,2
Kevin C. Desouza,Luke Butler,2
Kevin C. Desouza,Tan Yiğitcanlar,4
Luke Butler,Tan Yiğitcanlar,2
Peter Warrian,Raymond G. Gosine,2
Ibrahim Ghafir,Mohammad Hammoudeh,2
Ibrahim Ghafir,Thar Baker,2
Jibran Saleem,Mohammad Hammoudeh,2
Mohammad Hammoudeh,Thar Baker,2
Ajay Kumar Shrestha,Amir Jaberzadeh,2
Ajay Kumar Shrestha,Faijan Ahamad Khan,2
Ajay Kumar Shrestha,Jason Geng,2
Ajay Kumar Shrestha,Mohammed Afaan Shaikh,2
Amir Jaberzadeh,Faijan Ahamad Khan,2
Amir Jaberzadeh,Jason Geng,2
Amir Jaberzadeh,Mohammed Afaan Shaikh,2
Faijan Ahamad Khan,Jason Geng,2
Faijan Ahamad Khan,Mohammed Afaan Shaikh,2
Jason Geng,Mohammed Afaan Shaikh,2
Antonis Michalas,Khoa Nguyen,2
Antonis Michalas,Mindaugas Budzys,2
Khoa Nguyen,Mindaugas Budzys,2
Georgios Kaissis,Marcus R. Makowski,2
Georgios Kaissis,Rickmer Braren,2
Marcus R. Makowski,Rickmer Braren,2
Ashwin Verma,Deepti Saraswat,2
Ashwin Verma,Gulshan Sharma,2
Ashwin Verma,Pitshou N. Bokoro,2
Ashwin Verma,Pronaya Bhattacharya,2
Ashwin Verma,Ravi Sharma,2
Ashwin Verma,Sudeep Tanwar,2
Deepti Saraswat,Gulshan Sharma,2
Deepti Saraswat,Pitshou N. Bokoro,2
Deepti Saraswat,Pronaya Bhattacharya,2
Deepti Saraswat,Ravi Sharma,2
Deepti Saraswat,Sudeep Tanwar,2
Gulshan Sharma,Pitshou N. Bokoro,5
Gulshan Sharma,Pronaya Bhattacharya,3
Gulshan Sharma,Ravi Sharma,4
Gulshan Sharma,Sudeep Tanwar,5
Pitshou N. Bokoro,Pronaya Bhattacharya,3
Pitshou N. Bokoro,Ravi Sharma,4
Pitshou N. Bokoro,Sudeep Tanwar,4
Pronaya Bhattacharya,Ravi Sharma,3
Pronaya Bhattacharya,Sudeep Tanwar,4
Ravi Sharma,Sudeep Tanwar,5
Lei Shu,Mohamed Amine Ferrag,2
Lei Shu,Λέανδρος Μαγλαράς,2
Helge Janicke,Iqbal H. Sarker,2
Iqbal H. Sarker,Λέανδρος Μαγλαράς,2
Nickolaos Koroniotis,Nour Moustafa,2
Mousa Al-kfairy,Omar Alfandi,2
Ahmad Karim,Attia Qammar,2
Ahmad Karim,Huansheng Ning,2
Ahmad Karim,Jianguo Ding,2
Attia Qammar,Huansheng Ning,2
Attia Qammar,Jianguo Ding,2
Huansheng Ning,Jianguo Ding,2
Ali Selamat,Ondřej Krejcar,3
Jayesh Rane,Nitin Liladhar Rane,4
Constantine Stephanidis,Gavriel Salvendy,2
Constantine Stephanidis,Margherita Antona,2
Gavriel Salvendy,Margherita Antona,2
Lewis Golightly,Paolo Modesti,2
Lewis Golightly,Qianwen Xu,2
Paolo Modesti,Victor Chang,2
Qianwen Xu,Victor Chang,3
Aamir Rasool,Abdul Rehman Javed,2
Aamir Rasool,Zunera Jalil,2
Abdul Rehman Javed,Thar Baker,2
Abdul Rehman Javed,Zunera Jalil,3
Harikumar Pallthadka,Rajesh P. Chinchewadi,4
Harikumar Pallthadka,Sushma Jaiswal,4
Harikumar Pallthadka,Tarun Jaiswal,4
Rajesh P. Chinchewadi,Sushma Jaiswal,4
Rajesh P. Chinchewadi,Tarun Jaiswal,4
Sushma Jaiswal,Tarun Jaiswal,4
Frank Whittaker,Hua Wang,2
Frank Whittaker,Khandakar Ahmed,2
Frank Whittaker,Shekha Chenthara,2
Hua Wang,Khandakar Ahmed,4
Hua Wang,Shekha Chenthara,2
Khandakar Ahmed,Shekha Chenthara,2
Demetris Avraam,Paul R. Burton,2
Paula Fraga‐Lamas,Tiago M. Fernández‐Caramés,6
Ibrar Yaqoob,Khaled Salah,2
Khaled Salah,Muhammad Habib ur Rehman,4
Mohamed Amine Ferrag,Norbert Tihanyi,2
John Geddes,Michael Bauer,2
John Geddes,Peter C. Whybrow,2
John Geddes,Scott Monteith,2
John Geddes,Tasha Glenn,2
Michael Bauer,Peter C. Whybrow,2
Michael Bauer,Scott Monteith,2
Michael Bauer,Tasha Glenn,2
Peter C. Whybrow,Scott Monteith,2
Peter C. Whybrow,Tasha Glenn,2
Scott Monteith,Tasha Glenn,2
Fabian Böhm,Günther Pernul,2
Luca Caviglione,Wojciech Mazurczyk,2
Marek Pawlicki,Michał Choraś,3
Marius Portmann,Mohanad Sarhan,3
Marius Portmann,Siamak Layeghy,3
Mohanad Sarhan,Siamak Layeghy,3
Antonios Sarigiannidis,Panagiotis Sarigiannidis,3
Antonios Sarigiannidis,Θωμάς Λάγκας,3
Panagiotis Sarigiannidis,Θωμάς Λάγκας,5
Raza Nowrozy,Timothy R. McIntosh,2
Aditya Kuppa,Nhien‐An Le‐Khac,2
Dilek Fraisl,Gerid Hager,2
Dilek Fraisl,Margaret M. Gold,2
Dilek Fraisl,Muki Haklay,2
Gerid Hager,Margaret M. Gold,2
Gerid Hager,Muki Haklay,2
Margaret M. Gold,Muki Haklay,2
Malka N. Halgamuge,Paul Watters,3
Malka N. Halgamuge,Teo Sušnjak,3
Malka N. Halgamuge,Timothy R. McIntosh,3
Malka N. Halgamuge,Tong Liu,3
Paul Watters,Teo Sušnjak,3
Paul Watters,Timothy R. McIntosh,3
Paul Watters,Tong Liu,3
Teo Sušnjak,Timothy R. McIntosh,3
Teo Sušnjak,Tong Liu,3
Timothy R. McIntosh,Tong Liu,3
Abdullah Alharbi,Hashem Alyami,2
Abdullah Alharbi,Wael Alosaimi,2
Hashem Alyami,Wael Alosaimi,2
Abraham Ayodeji Abayomi,Jeffrey Chidera Ogeawuchi,2
Fang Fang,Quoc‐Viet Pham,2
Quoc‐Viet Pham,Won‐Joo Hwang,3
Anna Cartwright,Edward Cartwright,3
Anna Cartwright,Gareth Mott,2
Anna Cartwright,James Sullivan,2
Anna Cartwright,Jamie MacColl,2
Anna Cartwright,Jason R. C. Nurse,2
Anna Cartwright,Sarah Turner,2
Edward Cartwright,Gareth Mott,2
Edward Cartwright,James Sullivan,2
Edward Cartwright,Jamie MacColl,2
Edward Cartwright,Jason R. C. Nurse,2
Edward Cartwright,Sarah Turner,2
Gareth Mott,James Sullivan,3
Gareth Mott,Jamie MacColl,3
Gareth Mott,Jason R. C. Nurse,3
Gareth Mott,Sarah Turner,3
James Sullivan,Jamie MacColl,3
James Sullivan,Jason R. C. Nurse,3
James Sullivan,Sarah Turner,3
Jamie MacColl,Jason R. C. Nurse,3
Jamie MacColl,Sarah Turner,3
Jason R. C. Nurse,Sarah Turner,3
Félix Gómez Mármol,Pantaleone Nespoli,2
Gokul Yenduri,Praveen Kumar Reddy Maddikunta,2
Gokul Yenduri,Thippa Reddy Gadekallu,2
Kandaraj Piamrat,Ons Aouedi,2
Mamoun Alazab,Praveen Kumar Reddy Maddikunta,3
Mamoun Alazab,Sweta Bhattacharya,2
Mamoun Alazab,Thippa Reddy Gadekallu,3
Praveen Kumar Reddy Maddikunta,Sweta Bhattacharya,3
Praveen Kumar Reddy Maddikunta,Thippa Reddy Gadekallu,5
Sweta Bhattacharya,Thippa Reddy Gadekallu,3
Azana Hafizah Mohd Aman,Mohammad Kamrul Hasan,2
Mohammad Kamrul Hasan,Shayla Islam,3
Andy Nguyen,Belle Dang,2
Andy Nguyen,Yvonne Hong,2
Belle Dang,Yvonne Hong,2
Anushka Singh,Biplab Sikdar,2
Anushka Singh,Vikas Hassija,2
Anushka Singh,Vinay Chamola,2
Kangfeng Zheng,Xiujuan Wang,2
Kangfeng Zheng,Yanqing Yang,2
Xiujuan Wang,Yanqing Yang,2
Inayatul Haq,Tehseen Mazhar,2
Indu Bala,Maad M. Mıjwıl,2
Mahir R. Khan,Maryam Roshanaei,2
Mahir R. Khan,Natalie N. Sylvester,2
Maryam Roshanaei,Natalie N. Sylvester,2
Abdul Rehman Javed,Gautam Srivastava,2
Abdul Rehman Javed,Muhammad Rizwan,2
Abdul Rehman Javed,Thippa Reddy Gadekallu,5
Gautam Srivastava,Thippa Reddy Gadekallu,3
Georgios Efstathopoulos,Panagiotis Radoglou‐Grammatikis,3
Georgios Efstathopoulos,Panagiotis Sarigiannidis,3
Panagiotis Radoglou‐Grammatikis,Panagiotis Sarigiannidis,5
Andrew Ifesinachi Daraojimba,Bright Chibunna Ubanadu,2
Federico Cugurullo,Tan Yiğitcanlar,2
Francisco Herrera,Riccardo Guidotti,2
Francisco Herrera,Roberto Confalonieri,2
Javier Del Ser,Khan Muhammad,2
Javier Del Ser,Riccardo Guidotti,2
Javier Del Ser,Roberto Confalonieri,2
Riccardo Guidotti,Roberto Confalonieri,2
Shaker El–Sappagh,Tamer Abuhmed,2
Alexandre Alahi,John Krogstie,2
Alexandre Alahi,Simon Elias Bibri,2
John Krogstie,Simon Elias Bibri,6
Mohamed Benbouzid,Muhammad Fahad Zia,2
Liming Zhu,Qinghua Lu,2
Lars Vedel Kessing,Maria Faurholt‐Jepsen,2
Federico Casolari,Luciano Floridi,2
Amir Hussain,Mufti Mahmud,2
Juan M. Corchado,Rashid Mehmood,5
Guma Ali,Maad M. Mıjwıl,2
Andrew Miller,Ari Juels,2
Andrew Miller,Fan Zhang,2
Ari Juels,Fan Zhang,2
Dawn Song,Warren He,2
Harsha Kalutarage,M. Omar Al-Kadri,2
Abdallah Khreishah,Issa Khalil,2
Bernd Carsten Stahl,Kevin Macnish,3
Bernd Carsten Stahl,Mark Ryan,4
Kevin Macnish,Mark Ryan,3
A. S. Albahri,Aiman Al-Sabaawi,2
A. S. Albahri,Amin Abbosh,2
A. S. Albahri,Ashish Gupta,3
A. S. Albahri,Jinglan Zhang,2
A. S. Albahri,Jinshuai Bai,2
A. S. Albahri,José Santamaría,2
A. S. Albahri,Laith Alzubaidi,3
A. S. Albahri,Mohamed Manoufali,2
A. S. Albahri,Mohammed A. Fadhel,3
A. S. Albahri,Ye Duan,2
A. S. Albahri,Yuantong Gu,3
Aiman Al-Sabaawi,Amin Abbosh,2
Aiman Al-Sabaawi,Ashish Gupta,2
Aiman Al-Sabaawi,Jinglan Zhang,2
Aiman Al-Sabaawi,Jinshuai Bai,2
Aiman Al-Sabaawi,José Santamaría,2
Aiman Al-Sabaawi,Laith Alzubaidi,2
Aiman Al-Sabaawi,Mohamed Manoufali,2
Aiman Al-Sabaawi,Mohammed A. Fadhel,2
Aiman Al-Sabaawi,Ye Duan,2
Aiman Al-Sabaawi,Yuantong Gu,2
Amin Abbosh,Ashish Gupta,2
Amin Abbosh,Jinglan Zhang,2
Amin Abbosh,Jinshuai Bai,2
Amin Abbosh,José Santamaría,2
Amin Abbosh,Laith Alzubaidi,2
Amin Abbosh,Mohamed Manoufali,2
Amin Abbosh,Mohammed A. Fadhel,2
Amin Abbosh,Ye Duan,2
Amin Abbosh,Yuantong Gu,2
Ashish Gupta,Jinglan Zhang,2
Ashish Gupta,Jinshuai Bai,2
Ashish Gupta,José Santamaría,2
Ashish Gupta,Laith Alzubaidi,3
Ashish Gupta,Mohamed Manoufali,2
Ashish Gupta,Mohammed A. Fadhel,3
Ashish Gupta,Ye Duan,2
Ashish Gupta,Yuantong Gu,3
Jinglan Zhang,Jinshuai Bai,2
Jinglan Zhang,José Santamaría,2
Jinglan Zhang,Laith Alzubaidi,2
Jinglan Zhang,Mohamed Manoufali,2
Jinglan Zhang,Mohammed A. Fadhel,2
Jinglan Zhang,Ye Duan,2
Jinglan Zhang,Yuantong Gu,2
Jinshuai Bai,José Santamaría,2
Jinshuai Bai,Laith Alzubaidi,2
Jinshuai Bai,Mohamed Manoufali,2
Jinshuai Bai,Mohammed A. Fadhel,2
Jinshuai Bai,Ye Duan,2
Jinshuai Bai,Yuantong Gu,2
José Santamaría,Laith Alzubaidi,2
José Santamaría,Mohamed Manoufali,2
José Santamaría,Mohammed A. Fadhel,2
José Santamaría,Ye Duan,2
José Santamaría,Yuantong Gu,2
Laith Alzubaidi,Mohamed Manoufali,2
Laith Alzubaidi,Mohammed A. Fadhel,3
Laith Alzubaidi,Ye Duan,2
Laith Alzubaidi,Yuantong Gu,3
Mohamed Manoufali,Mohammed A. Fadhel,2
Mohamed Manoufali,Ye Duan,2
Mohamed Manoufali,Yuantong Gu,2
Mohammed A. Fadhel,Ye Duan,2
Mohammed A. Fadhel,Yuantong Gu,3
Ye Duan,Yuantong Gu,2
Libby Hepburn,Muki Haklay,2
Libby Hepburn,Uta Wehn,2
Linda See,Steffen Fritz,2
Muki Haklay,Uta Wehn,2
Antonio Skármeta,Jorge Bernal Bernabé,3
Miloud Bagaa,Tarik Taleb,2
Chidiogo Uzoamaka Akpuokwe,Nkechi Emmanuella Eneh,2
Chidiogo Uzoamaka Akpuokwe,Seun Solomon Bakare,2
Nkechi Emmanuella Eneh,Seun Solomon Bakare,2
Hsinchun Chen,Sagar Samtani,3
Arjen Boin,Magnus Ekengren,2
Arjen Boin,Mark Rhinard,2
Magnus Ekengren,Mark Rhinard,2
Ilhaam A. Omar,Khaled Salah,2
Ilhaam A. Omar,Raja Jayaraman,2
Khaled Salah,Mazin Debe,2
Andrew I.R. Maas,Guido Bertolini,2
Anat Elhalal,Jessica Morley,2
Anat Elhalal,Libby Kinsey,2
Anat Elhalal,Luciano Floridi,2
Jessica Morley,Libby Kinsey,2
Libby Kinsey,Luciano Floridi,2
Maria Bada,Steven Furnell,2
Christian Ohmann,Steve Canham,2
Christian Ohmann,Wolfgang Kuchinke,2
Gabriella Casalino,Gautami Tripathi,3
Gabriella Casalino,Mohd Abdul Ahad,3
Gautami Tripathi,Mohd Abdul Ahad,3
Gautam Srivastava,Praveen Kumar Reddy Maddikunta,2
B. M. Zeeshan Hameed,Bhaskar Somani,2
B. M. Zeeshan Hameed,Dasharathraj K Shetty,2
B. M. Zeeshan Hameed,Komal Smriti,2
B. M. Zeeshan Hameed,Nithesh Naik,2
B. M. Zeeshan Hameed,Rahul Paul,2
B. M. Zeeshan Hameed,Vathsala Patil,2
Bhaskar Somani,Dasharathraj K Shetty,2
Bhaskar Somani,Komal Smriti,2
Bhaskar Somani,Nithesh Naik,2
Bhaskar Somani,Rahul Paul,2
Bhaskar Somani,Vathsala Patil,2
Dasharathraj K Shetty,Komal Smriti,2
Dasharathraj K Shetty,Nithesh Naik,2
Dasharathraj K Shetty,Rahul Paul,2
Dasharathraj K Shetty,Vathsala Patil,2
Komal Smriti,Nithesh Naik,2
Komal Smriti,Rahul Paul,2
Komal Smriti,Vathsala Patil,2
Nithesh Naik,Rahul Paul,2
Nithesh Naik,Vathsala Patil,2
Rahul Paul,Vathsala Patil,2
Cosmas Ifeanyi Nwakanma,Dong‐Seong Kim,3
Cosmas Ifeanyi Nwakanma,Judith Nkechinyere Njoku,2
Cosmas Ifeanyi Nwakanma,Love Allen Chijioke Ahakonye,2
Dong‐Seong Kim,Judith Nkechinyere Njoku,2
Dong‐Seong Kim,Love Allen Chijioke Ahakonye,2
Muhammad Irshad,Sayed Fayaz Ahmad,2
Dennis Broeders,Fábio Cristiano,2
Karel Lenc,Roman Ring,2
Emmanouil Panaousis,Sakshyam Panda,3
Jiankun Hu,Xuefei Yin,2
Aitizaz Ali,Fahima Hajjej,2
Aitizaz Ali,Mohammed Amin Almaiah,3
Aitizaz Ali,Muhammad Fermi Pasha,3
Fahima Hajjej,Mohammed Amin Almaiah,2
Fahima Hajjej,Muhammad Fermi Pasha,2
Mohammed Amin Almaiah,Muhammad Fermi Pasha,2
Fabian Reuschling,Kelly Burke,2
Fabian Reuschling,Nils Carstengerdes,2
Fabian Reuschling,Tim H. Stelkens-Kobsch,2
Kelly Burke,Nils Carstengerdes,2
Kelly Burke,Tim H. Stelkens-Kobsch,2
Nils Carstengerdes,Tim H. Stelkens-Kobsch,2
Kaśka Porayska‐Pomsta,W. Holmes,2
Konstantinos Demertzis,Stavros Demertzis,2
Konstantinos Demertzis,Vasiliki Demertzi,2
Stavros Demertzis,Vasiliki Demertzi,2
Carsten Maple,David De Roure,4
Carsten Maple,Petar Radanliev,4
Carsten Maple,Uchenna Ani,2
David De Roure,Petar Radanliev,10
David De Roure,Uchenna Ani,2
Petar Radanliev,Uchenna Ani,3
Milena Vučinić,Radoica Luburić,2
Andrea Coravos,Eric Perakslis,2
Andrea Coravos,Jennifer C. Goldsack,2
Philip S. Yu,Tianqing Zhu,2
Philip S. Yu,Wanlei Zhou,2
Tianqing Zhu,Wanlei Zhou,2
Fred Prior,Luis Martí‐Bonmatí,2
Fred Prior,Sandy Napel,2
Luis Martí‐Bonmatí,Sandy Napel,2
Blaine Hoffman,Char Sample,2
Carsten Maple,Jason R. C. Nurse,2
David De Roure,Jason R. C. Nurse,2
David De Roure,Răzvan Nicolescu,2
Jason R. C. Nurse,Petar Radanliev,2
Petar Radanliev,Răzvan Nicolescu,2
Shuang Ren,Stephanie Decker,2
Mortaza S. Bargh,Sunil Choenni,2
Dinh Thai Hoang,Dusit Niyato,2
Dong In Kim,Dusit Niyato,2
Dong In Kim,Ping Wang,2
Dong In Kim,Wenbo Wang,2
Dusit Niyato,Ping Wang,2
Dusit Niyato,Wenbo Wang,2
Dusit Niyato,Zehui Xiong,2
Ping Wang,Wenbo Wang,2
Adnan Anwar,Robin Doss,2
Chris L. Greer,David A. Wollman,3
Cuong Nguyen,David A. Wollman,2
Chamitha de Alwis,Kapal Dev,2
Chamitha de Alwis,Madhusanka Liyanage,2
Kapal Dev,Madhusanka Liyanage,2
Aashray Gupta,Brandon Stretton,2
Aashray Gupta,Guy J. Maddern,2
Aashray Gupta,Joshua G. Kovoor,2
Aashray Gupta,Stephen Bacchi,2
Brandon Stretton,Guy J. Maddern,2
Brandon Stretton,Joshua G. Kovoor,2
Brandon Stretton,Stephen Bacchi,2
Guy J. Maddern,Joshua G. Kovoor,2
Guy J. Maddern,Stephen Bacchi,2
Joshua G. Kovoor,Stephen Bacchi,2
Agustí Solanas,Constantinos Patsakis,2
Agustí Solanas,Fran Casino,2
Constantinos Patsakis,Fran Casino,2
Gabriela Zeller,Matthias Scherer,2
Angelos Angelopoulos,Panagiotis Trakadas,2
Samuel Onimisi Dawodu,Sarah Kuzankah Ewuga,2
Davy Preuveneers,Wouter Joosen,2
Azeez Olanipekun Hassan,Prisca Ugomma Uwaoma,3
Azeez Olanipekun Hassan,Samuel Onimisi Dawodu,2
Azeez Olanipekun Hassan,Simon Kaggwa,3
Azeez Olanipekun Hassan,Temitayo Oluwaseun Abrahams,2
Prisca Ugomma Uwaoma,Samuel Onimisi Dawodu,2
Prisca Ugomma Uwaoma,Simon Kaggwa,3
Prisca Ugomma Uwaoma,Temitayo Oluwaseun Abrahams,2
Samuel Onimisi Dawodu,Simon Kaggwa,2
Samuel Onimisi Dawodu,Temitayo Oluwaseun Abrahams,2
Simon Kaggwa,Temitayo Oluwaseun Abrahams,2
Alka Agrawal,Raees Ahmad Khan,4
Alka Agrawal,Rajeev Kumar,5
Raees Ahmad Khan,Rajeev Kumar,4
Huawei Huang,Zibin Zheng,3
Jiawen Kang,Zehui Xiong,2
Markus Christen,Michele Loi,2
Yagmur Yigit,Λέανδρος Μαγλαράς,2
Aitizaz Ali,Ting Tin Tin,2
Bander Ali Saleh Al‐rimy,Faisal Saeed,2
Angelica Pazurek,Aras Bozkurt,2
Angelica Pazurek,Junhong Xiao,2
Angelica Pazurek,Maha Bali,2
Angelica Pazurek,Melissa Bond,2
Angelica Pazurek,Tutaleni I. Asino,2
Aras Bozkurt,Juliana Elisa Raffaghelli,2
Aras Bozkurt,Junhong Xiao,2
Aras Bozkurt,Maha Bali,4
Aras Bozkurt,Melissa Bond,3
Aras Bozkurt,Tutaleni I. Asino,2
Juliana Elisa Raffaghelli,Maha Bali,2
Juliana Elisa Raffaghelli,Melissa Bond,2
Junhong Xiao,Maha Bali,2
Junhong Xiao,Melissa Bond,2
Junhong Xiao,Tutaleni I. Asino,2
Maha Bali,Melissa Bond,3
Maha Bali,Tutaleni I. Asino,2
Melissa Bond,Tutaleni I. Asino,2
David De Roure,Omar Santos,6
Omar Santos,Petar Radanliev,8
Don Eliseo Lucero‐Prisno,Olalekan John Okesanya,2
Antonio Skármeta,José L. Hernández-Ramos,2
Andrej Zwitter,Oskar Josef Gstrein,4
Juan M. Corchado,Kevin C. Desouza,3
Juan M. Corchado,Rita Yi Man Li,2
Juan M. Corchado,Tan Yiğitcanlar,4
Kevin C. Desouza,Rashid Mehmood,3
Kevin C. Desouza,Rita Yi Man Li,2
Massimo Regona,Tan Yiğitcanlar,2
Rashid Mehmood,Rita Yi Man Li,2
Rashid Mehmood,Tan Yiğitcanlar,4
Rita Yi Man Li,Tan Yiğitcanlar,2
Abid Mehmood,Moatsum Alawida,2
Dina A. Alabbad,Mudassar Aslam,2
Dina A. Alabbad,Rizwan Ahmad,2
Dina A. Alabbad,Saqib Saeed,2
Dina A. Alabbad,Subhan Ullah,2
Dina A. Alabbad,Tahir Ahmad,2
Mudassar Aslam,Rizwan Ahmad,2
Mudassar Aslam,Saqib Saeed,2
Mudassar Aslam,Subhan Ullah,2
Mudassar Aslam,Tahir Ahmad,2
Rizwan Ahmad,Saqib Saeed,2
Rizwan Ahmad,Subhan Ullah,2
Rizwan Ahmad,Tahir Ahmad,2
Saqib Saeed,Subhan Ullah,2
Saqib Saeed,Tahir Ahmad,2
Subhan Ullah,Tahir Ahmad,2
Akoh Atadoga,Benjamin Samson Ayinla,4
Akoh Atadoga,Femi Osasona,4
Akoh Atadoga,Olukunle Oladipupo Amoo,5
Akoh Atadoga,Oluwatoyin Ajoke Farayola,4
Akoh Atadoga,Temitayo Oluwaseun Abrahams,4
Benjamin Samson Ayinla,Femi Osasona,4
Benjamin Samson Ayinla,Olukunle Oladipupo Amoo,4
Benjamin Samson Ayinla,Oluwatoyin Ajoke Farayola,4
Benjamin Samson Ayinla,Temitayo Oluwaseun Abrahams,4
Femi Osasona,Olukunle Oladipupo Amoo,4
Femi Osasona,Oluwatoyin Ajoke Farayola,4
Femi Osasona,Temitayo Oluwaseun Abrahams,4
Olukunle Oladipupo Amoo,Oluwatoyin Ajoke Farayola,4
Olukunle Oladipupo Amoo,Temitayo Oluwaseun Abrahams,4
Oluwatoyin Ajoke Farayola,Temitayo Oluwaseun Abrahams,5
Arpan Kumar Kar,Purva Grover,2
Katina Michael,Yogesh K. Dwivedi,2
Matti Mäntymäki,Yogesh K. Dwivedi,2
Ahmet E. Topcu,Yehia Ibrahim Alzoubi,2
Alok Mishra,Yehia Ibrahim Alzoubi,2
Carsten Maple,La’Treall Maddox,2
Carsten Maple,Omar Santos,2
Carsten Maple,Pete Burnap,2
David De Roure,La’Treall Maddox,3
David De Roure,Pete Burnap,3
David De Roure,Rafael Mantilla Montalvo,2
David De Roure,Stacy Cannady,2
La’Treall Maddox,Omar Santos,3
La’Treall Maddox,Petar Radanliev,3
La’Treall Maddox,Pete Burnap,2
La’Treall Maddox,Rafael Mantilla Montalvo,2
La’Treall Maddox,Stacy Cannady,2
Omar Santos,Pete Burnap,3
Omar Santos,Rafael Mantilla Montalvo,2
Omar Santos,Stacy Cannady,2
Petar Radanliev,Pete Burnap,3
Petar Radanliev,Rafael Mantilla Montalvo,2
Petar Radanliev,Stacy Cannady,2
Rafael Mantilla Montalvo,Stacy Cannady,2
Bharanidharan Shanmugam,Farida Habib Semantha,3
Bharanidharan Shanmugam,Kheng Cher Yeo,3
Bharanidharan Shanmugam,Sami Azam,5
Farida Habib Semantha,Kheng Cher Yeo,3
Farida Habib Semantha,Sami Azam,3
Kheng Cher Yeo,Sami Azam,3
Khushnood Abbas,Shi Dong,2
Daniel Shu Wei Ting,Jasmine Chiat Ling Ong,2
Constantinos Halkiopoulos,Leonidas Theodorakopoulos,2
Leo Anthony Celi,X. Borrat,2
Arvind Selwal,Pooja Anand,2
Arvind Selwal,Yashwant Singh,2
Pooja Anand,Yashwant Singh,2
Alexander Bernier,Melissa Cline,2
David Glazer,Heidi L. Rehm,2
David Glazer,Robert Cook‐Deegan,2
David Haussler,Melissa Cline,2
Edward S. Dove,Yann Joly,2
Heidi L. Rehm,Robert Cook‐Deegan,2
Mallory Freeberg,Petr Holub,2
Abid Mehmood,Mourad Elhadef,2
Dragan Gašević,Lixiang Yan,3
Dragan Gašević,Roberto Martínez‐Maldonado,2
Dragan Gašević,Yueqiao Jin,2
