Source,Target,Weight
Abdullah M. Baabdullah,Sriparna Basu,2
Abdullah M. Baabdullah,Suprateek Sarker,2
Abdullah M. Baabdullah,Yogesh K. Dwivedi,3
Abdullah M. Baabdullah,Yves Barlette,2
Alex Koohang,Arpan Kumar Kar,2
Alex Koohang,Gareth H. Davies,2
Alex Koohang,Giampaolo Viglia,2
Alex Koohang,Janarthanan Balakrishnan,2
Alex Koohang,Laurie Hughes,2
Alex Koohang,Neeraj Pandey,2
Alex Koohang,Nir Kshetri,2
Alex Koohang,Nripendra P. Rana,2
Alex Koohang,Ramakrishnan Raman,2
Alex Koohang,Rohita Dwivedi,2
Alex Koohang,Samuel Ribeiro‐Navarrete,2
Alex Koohang,Savvas Papagiannidis,2
Alex Koohang,Sriparna Basu,2
Alex Koohang,Yogesh K. Dwivedi,2
Arpan Kumar Kar,Frantz Rowe,2
Arpan Kumar Kar,Gareth H. Davies,2
Arpan Kumar Kar,Giampaolo Viglia,2
Arpan Kumar Kar,Janarthanan Balakrishnan,2
Arpan Kumar Kar,Laurie Hughes,3
Arpan Kumar Kar,Marijn Janssen,3
Arpan Kumar Kar,Michael Wade,2
Arpan Kumar Kar,Neeraj Pandey,2
Arpan Kumar Kar,Nir Kshetri,2
Arpan Kumar Kar,Nripendra P. Rana,3
Arpan Kumar Kar,Rahul Dé,2
Arpan Kumar Kar,Ramakrishnan Raman,3
Arpan Kumar Kar,Rameshwar Dubey,2
Arpan Kumar Kar,Robert M. Davison,2
Arpan Kumar Kar,Rohita Dwivedi,2
Arpan Kumar Kar,Samuel Ribeiro‐Navarrete,2
Arpan Kumar Kar,Savvas Papagiannidis,2
Arpan Kumar Kar,Sriparna Basu,2
Arpan Kumar Kar,Suprateek Sarker,2
Arpan Kumar Kar,Yogesh K. Dwivedi,3
Arpan Kumar Kar,Yves Barlette,2
Bernd Carsten Stahl,Laurence Brooks,3
Dimitrios Buhalis,Giampaolo Viglia,2
Dimitrios Buhalis,Yogesh K. Dwivedi,2
Frantz Rowe,Laurie Hughes,2
Frantz Rowe,Michael Wade,2
Frantz Rowe,Nripendra P. Rana,2
Frantz Rowe,Rahul Dé,2
Frantz Rowe,Ramakrishnan Raman,2
Frantz Rowe,Rameshwar Dubey,2
Frantz Rowe,Robert M. Davison,2
Frantz Rowe,Suprateek Sarker,2
Frantz Rowe,Yogesh K. Dwivedi,2
Frantz Rowe,Yves Barlette,2
Gareth H. Davies,Giampaolo Viglia,2
Gareth H. Davies,Janarthanan Balakrishnan,2
Gareth H. Davies,Laurie Hughes,2
Gareth H. Davies,Neeraj Pandey,2
Gareth H. Davies,Nir Kshetri,2
Gareth H. Davies,Nripendra P. Rana,2
Gareth H. Davies,Ramakrishnan Raman,2
Gareth H. Davies,Rohita Dwivedi,2
Gareth H. Davies,Samuel Ribeiro‐Navarrete,2
Gareth H. Davies,Savvas Papagiannidis,2
Gareth H. Davies,Sriparna Basu,2
Gareth H. Davies,Yogesh K. Dwivedi,2
Giampaolo Viglia,Janarthanan Balakrishnan,2
Giampaolo Viglia,Laurie Hughes,2
Giampaolo Viglia,Neeraj Pandey,2
Giampaolo Viglia,Nir Kshetri,2
Giampaolo Viglia,Nripendra P. Rana,2
Giampaolo Viglia,Ramakrishnan Raman,2
Giampaolo Viglia,Rohita Dwivedi,2
Giampaolo Viglia,Samuel Ribeiro‐Navarrete,2
Giampaolo Viglia,Savvas Papagiannidis,2
Giampaolo Viglia,Sriparna Basu,2
Giampaolo Viglia,Yogesh K. Dwivedi,2
Janarthanan Balakrishnan,Laurie Hughes,2
Janarthanan Balakrishnan,Neeraj Pandey,2
Janarthanan Balakrishnan,Nir Kshetri,2
Janarthanan Balakrishnan,Nripendra P. Rana,2
Janarthanan Balakrishnan,Ramakrishnan Raman,2
Janarthanan Balakrishnan,Rohita Dwivedi,2
Janarthanan Balakrishnan,Samuel Ribeiro‐Navarrete,2
Janarthanan Balakrishnan,Savvas Papagiannidis,2
Janarthanan Balakrishnan,Sriparna Basu,2
Janarthanan Balakrishnan,Yogesh K. Dwivedi,2
Laurie Hughes,Michael Wade,2
Laurie Hughes,Neeraj Pandey,2
Laurie Hughes,Nir Kshetri,2
Laurie Hughes,Nripendra P. Rana,4
Laurie Hughes,Rahul Dé,2
Laurie Hughes,Ramakrishnan Raman,3
Laurie Hughes,Rameshwar Dubey,2
Laurie Hughes,Robert M. Davison,2
Laurie Hughes,Rohita Dwivedi,2
Laurie Hughes,Samuel Ribeiro‐Navarrete,2
Laurie Hughes,Savvas Papagiannidis,2
Laurie Hughes,Sriparna Basu,2
Laurie Hughes,Suprateek Sarker,2
Laurie Hughes,Yogesh K. Dwivedi,4
Laurie Hughes,Yves Barlette,2
Michael Wade,Nripendra P. Rana,2
Michael Wade,Rahul Dé,2
Michael Wade,Ramakrishnan Raman,2
Michael Wade,Rameshwar Dubey,2
Michael Wade,Robert M. Davison,2
Michael Wade,Suprateek Sarker,2
Michael Wade,Yogesh K. Dwivedi,2
Michael Wade,Yves Barlette,2
Neeraj Pandey,Nir Kshetri,2
Neeraj Pandey,Nripendra P. Rana,2
Neeraj Pandey,Ramakrishnan Raman,2
Neeraj Pandey,Rohita Dwivedi,2
Neeraj Pandey,Samuel Ribeiro‐Navarrete,2
Neeraj Pandey,Savvas Papagiannidis,2
Neeraj Pandey,Sriparna Basu,2
Neeraj Pandey,Yogesh K. Dwivedi,2
Nir Kshetri,Nripendra P. Rana,2
Nir Kshetri,Ramakrishnan Raman,2
Nir Kshetri,Rohita Dwivedi,2
Nir Kshetri,Samuel Ribeiro‐Navarrete,2
Nir Kshetri,Savvas Papagiannidis,2
Nir Kshetri,Sriparna Basu,2
Nir Kshetri,Yogesh K. Dwivedi,2
Nripendra P. Rana,Rahul Dé,2
Nripendra P. Rana,Ramakrishnan Raman,3
Nripendra P. Rana,Rameshwar Dubey,2
Nripendra P. Rana,Robert M. Davison,2
Nripendra P. Rana,Rohita Dwivedi,2
Nripendra P. Rana,Samuel Ribeiro‐Navarrete,2
Nripendra P. Rana,Savvas Papagiannidis,2
Nripendra P. Rana,Sriparna Basu,2
Nripendra P. Rana,Suprateek Sarker,2
Nripendra P. Rana,Yogesh K. Dwivedi,6
Nripendra P. Rana,Yves Barlette,2
Paul Jones,Sascha Kraus,2
Paul Jones,Yogesh K. Dwivedi,2
Rahul Dé,Ramakrishnan Raman,2
Rahul Dé,Rameshwar Dubey,2
Rahul Dé,Robert M. Davison,2
Rahul Dé,Suprateek Sarker,2
Rahul Dé,Yogesh K. Dwivedi,2
Rahul Dé,Yves Barlette,2
Ramakrishnan Raman,Rameshwar Dubey,2
Ramakrishnan Raman,Robert M. Davison,2
Ramakrishnan Raman,Rohita Dwivedi,2
Ramakrishnan Raman,Samuel Ribeiro‐Navarrete,2
Ramakrishnan Raman,Savvas Papagiannidis,2
Ramakrishnan Raman,Sriparna Basu,2
Ramakrishnan Raman,Suprateek Sarker,2
Ramakrishnan Raman,Yogesh K. Dwivedi,4
Ramakrishnan Raman,Yves Barlette,2
Rameshwar Dubey,Robert M. Davison,2
Rameshwar Dubey,Suprateek Sarker,2
Rameshwar Dubey,Yogesh K. Dwivedi,2
Rameshwar Dubey,Yves Barlette,2
Robert M. Davison,Suprateek Sarker,2
Robert M. Davison,Yogesh K. Dwivedi,2
Robert M. Davison,Yves Barlette,2
Rohita Dwivedi,Samuel Ribeiro‐Navarrete,2
Rohita Dwivedi,Savvas Papagiannidis,2
Rohita Dwivedi,Sriparna Basu,2
Rohita Dwivedi,Yogesh K. Dwivedi,2
Samuel Ribeiro‐Navarrete,Savvas Papagiannidis,2
Samuel Ribeiro‐Navarrete,Sriparna Basu,2
Samuel Ribeiro‐Navarrete,Yogesh K. Dwivedi,2
Sascha Kraus,Yogesh K. Dwivedi,2
Savvas Papagiannidis,Soumyadeb Chowdhury,2
Savvas Papagiannidis,Sriparna Basu,2
Savvas Papagiannidis,Yogesh K. Dwivedi,2
Sriparna Basu,Yogesh K. Dwivedi,2
Suprateek Sarker,Yogesh K. Dwivedi,2
Suprateek Sarker,Yves Barlette,2
Yogesh K. Dwivedi,Yves Barlette,2
Alika Guchua,Thornike Zedelashvili,3
Daniel Molina,Francisco Herrera,3
Daniel Molina,Javier Del Ser,2
Francisco Herrera,Javier Del Ser,5
Francisco Herrera,Natalia Díaz-Rodríguez,3
Francisco Herrera,Salvador García,2
Javier Del Ser,Natalia Díaz-Rodríguez,4
Abdelouahid Derhab,Farrukh Aslam Khan,2
Abdelouahid Derhab,Mohamed Amine Ferrag,3
Abdelouahid Derhab,Λέανδρος Μαγλαράς,3
Mohamed Amine Ferrag,Λέανδρος Μαγλαράς,7
Muhammad Anshari,Muhammad Syafrudin,2
Muhammad Anshari,Norma Latif Fitriyani,2
Muhammad Syafrudin,Norma Latif Fitriyani,2
Ali Dehghantanha,Kim‐Kwang Raymond Choo,2
Kim‐Kwang Raymond Choo,Reza M. Parizi,2
Lewis Golightly,Victor Chang,4
Edima David Etim,Ehimah Obuse,2
Edima David Etim,Emmanuel Cadet,2
Edima David Etim,Eseoghene Daniel Erigha,2
Edima David Etim,Iboro Akpan Essien,2
Edima David Etim,Joshua Oluwagbenga Ajayi,2
Edima David Etim,Lawal Abdulmutalib Babatunde,2
Ehimah Obuse,Emmanuel Cadet,2
