year,count
2010.0,14
2011.0,19
2012.0,20
2013.0,24
2014.0,41
2015.0,48
2016.0,72
2017.0,126
2018.0,180
2019.0,308
2020.0,507
2021.0,552
2022.0,539
2023.0,923
2024.0,929
2025.0,484
