year,Research Security,AI Governance,Ransomware,Open Science,Cybersecurity
2010,0,0,0,1,2
2011,0,0,0,0,3
2012,1,0,0,1,4
2013,3,0,1,2,9
2014,1,0,1,2,9
2015,1,0,3,5,12
2016,0,0,3,3,12
2017,2,0,8,6,24
2018,4,0,10,14,33
2019,3,3,7,16,54
2020,9,7,14,26,127
2021,6,7,22,22,109
2022,8,11,34,40,153
2023,6,41,47,89,279
2024,6,78,45,50,280
